v 480
Track0
00 FF 51 00 92 7C 00 C0 69 1E B0 07 7F 1E 0A 40 
1E 5B 0F 9D 26 FF 51 06 AD 25 BC 00 90 24 7F 81 
5F 81 6E 2A 64 81 0B 81 74 24 7F 81 0A 81 19 2B 
64 41 81 71 2A 64 3F 4E 24 7F 81 10 81 1F 2B 64 
3E 81 6D 2A 64 41 50 24 7F 81 13 81 22 2B 64 3D 
4C 2B 64 81 11 81 20 26 50 2D 3C 2B 64 11 20 FE 
00 42 42 FE 00 46 42 FE 00 4A 24 82 47 24 5A 28 
3C 24 5A 28 3C FE 00 08 08 FE 00 0C 08 FE 00 10 
08 FE 00 64 0B 1A 29 7F 4B 5A 27 64 FE 00 61 07 
50 29 7F 81 12 81 21 2A 64 3F 4E 2B 64 FE 00 63 
07 4D 2D 7F 81 11 81 20 2A 64 41 50 27 64 FE 00 
65 16 FE 00 95 0B FE 00 31 07 FE 00 8F 07 FE 00 
2E 0D FE 00 88 07 FE 00 25 0D FE 00 81 16 FE 00 
B1 0B FE 00 4D 07 FE 00 AB 07 FE 00 4A 0D FE 00 
A4 07 FE 00 41 0D FE 00 9D 16 FE 00 CD 0B FE 00 
69 07 FE 00 C7 07 FE 00 66 0D FE 00 C0 07 FE 00 
5D 0D FE 00 B9 16 FE 00 E9 0B 1A 29 32 4B 5A 27 
64 FE 00 E6 07 FE 00 85 0D FE 00 DF 07 FE 00 7C 
0D FE 00 D8 16 FE 01 08 0B FE 00 A4 07 FE 01 02 
07 FE 00 A1 0D FE 00 FB 07 FE 00 98 0D FE 00 F4 
16 FE 01 24 0B FE 00 C0 07 FE 01 1E 07 FE 00 BD 
0D FE 01 17 07 FE 00 B4 0D FE 01 10 16 FE 01 40 
0B FE 00 DC 07 FE 01 3A 07 FE 00 D9 0D FE 01 33 
07 FE 00 D0 0D FE 01 2C 16 FE 01 5C 0B FE 00 F8 
07 FE 01 56 07 FE 00 F5 0D FE 01 4F 07 FE 00 EC 
0D FE 01 48 16 FE 01 78 0B FE 01 14 07 FE 01 72 
07 FE 01 11 0D FE 01 6B 07 FE 01 08 0D FE 01 64 
16 FE 01 94 0B FE 01 30 07 FE 01 8E 07 FE 01 2D 
0D FE 01 87 07 FE 01 24 0D FE 01 80 16 FE 01 B0 
0B FE 01 4C 07 FE 01 AA 07 FE 01 49 0D FE 01 A3 
07 FE 01 40 0D FE 01 9C 16 FE 01 CC 0B FE 01 68 
07 FE 01 C6 07 FE 01 65 0D FE 01 BF 07 FE 01 5C 
0D FE 01 B8 16 FE 01 E8 0B FE 01 84 07 FE 01 E2 
07 FE 01 81 0D FE 01 DB 07 FE 01 78 0D FE 01 D4 
16 FE 02 04 0B FE 01 A0 07 FE 01 FE 07 FE 01 9D 
0D FE 01 F7 07 FE 01 94 0D FE 01 F0 16 FE 02 20 
0B FE 01 BC 07 FE 02 1A 07 FE 01 B9 0D FE 02 13 
07 FE 01 B0 0D FE 02 0C 16 FE 02 3C 0B FE 01 D8 
07 FE 02 36 07 FE 01 D5 0D FE 02 2F 07 FE 01 CC 
0D FE 02 28 16 FE 02 58 0B FE 01 F4 07 FE 02 52 
07 FE 01 F1 0D FE 02 4B 07 FE 01 E8 0D FE 02 44 
16 FE 02 74 0B FE 02 10 07 FE 02 6E 07 FE 02 0D 
0D FE 02 67 07 FE 02 04 0D FE 02 60 16 FE 02 90 
0B FE 02 2C 07 FE 02 8A 07 FE 02 29 0D FE 02 83 
07 FE 02 20 0D FE 02 7C 16 FE 02 AC 0B FE 02 48 
07 FE 02 A6 07 FE 02 45 0D FE 02 9F 07 FE 02 3C 
0D FE 02 98 16 FE 02 C8 0B FE 02 64 07 FE 02 C2 
07 FE 02 61 0D FE 02 BB 07 FE 02 58 0D FE 02 B4 
16 FE 02 E4 0B FE 02 80 07 FE 02 DE 07 FE 02 7D 
0D FE 02 D7 07 FE 02 74 0D FE 02 D0 16 FE 03 00 
0B FE 02 9C 07 FE 02 FA 07 FE 02 99 0D FE 02 F3 
07 FE 02 90 0D FE 02 EC 16 FE 03 1C 0B FE 02 B8 
07 FE 03 16 07 FE 02 B5 0D FE 03 0F 07 FE 02 AC 
0D FE 03 08 16 FE 03 38 0B FE 02 D4 07 FE 03 32 
07 FE 02 D1 0D FE 03 2B 07 FE 02 C8 0D FE 03 24 
16 FE 03 54 0B FE 02 F0 07 FE 03 4E 07 FE 02 ED 
0D FE 03 47 07 FE 02 E4 0D FE 03 40 16 FE 03 70 
0B FE 03 0C 07 FE 03 6A 07 FE 03 09 0D FE 03 63 
07 FE 03 00 0D FE 03 5C 16 FE 03 8C 0B FE 03 28 
07 FE 03 86 07 FE 03 25 0D FE 03 7F 07 FE 03 1C 
0D FE 03 78 16 FE 03 A8 0B FE 03 44 07 FE 03 A2 
07 FE 03 41 0D FE 03 9B 07 FE 03 38 0D FE 03 94 
16 FE 03 C4 0B FE 03 60 07 FE 03 BE 07 FE 03 5D 
0D FE 03 B7 07 FE 03 54 0D FE 03 B0 16 FE 03 E0 
0B FE 03 7C 07 FE 03 DA 07 FE 03 79 0D FE 03 D3 
07 FE 03 70 0D FE 03 CC 16 FE 03 FC 0B FE 03 98 
07 FE 03 F6 07 FE 03 95 0D FE 03 EF 07 FE 03 8C 
0D FE 03 E8 16 FE 04 18 0B FE 03 B4 07 FE 04 12 
07 FE 03 B1 0D FE 04 0B 07 FE 03 A8 0D FE 04 04 
16 FE 04 34 0B FE 03 D0 07 FE 04 2E 07 FE 03 CD 
0D FE 04 27 07 FE 03 C4 0D FE 04 20 16 FE 04 50 
0B FE 03 EC 07 FE 04 4A 07 FE 03 E9 0D FE 04 43 
07 FE 03 E0 0D FE 04 3C 16 FE 04 6C 0B FE 04 08 
07 FE 04 66 07 FE 04 05 0D FE 04 5F 07 FE 03 FC 
0D FE 04 58 16 FE 04 88 0B FE 04 24 07 FE 04 82 
07 FE 04 21 0D FE 04 7B 07 FE 04 18 0D FE 04 74 
16 FE 04 A4 0B FE 04 40 07 FE 04 9E 07 FE 04 3D 
0D FE 04 97 07 FE 04 34 0D FE 04 90 16 FE 04 C0 
0B FE 04 5C 07 FE 04 BA 07 FE 04 59 0D FE 04 B3 
07 FE 04 50 0D FE 04 AC 16 FE 04 DC 0B FE 04 78 
07 FE 04 D6 07 FE 04 75 0D FE 04 CF 07 FE 04 6C 
0D FE 04 C8 16 FE 04 F8 0B FE 04 94 07 FE 04 F2 
07 FE 04 91 0D FE 04 EB 07 FE 04 88 0D FE 04 E4 
16 FE 05 14 0B FE 04 B0 07 FE 05 0E 07 FE 04 AD 
0D FE 05 07 07 FE 04 A4 0D FE 05 00 16 FE 05 30 
0B FE 04 CC 07 FE 05 2A 07 FE 04 C9 0D FE 05 23 
07 FE 04 C0 0D FE 05 1C 16 FE 05 4C 0B FE 04 E8 
07 FE 05 46 07 FE 04 E5 0D FE 05 3F 07 FE 04 DC 
0D FE 05 38 16 FE 05 68 0B FE 05 04 07 FE 05 62 
07 FE 05 01 0D FE 05 5B 07 FE 04 F8 0D FE 05 54 
16 FE 05 84 0B FE 05 20 07 FE 05 7E 07 FE 05 1D 
0D FE 05 77 07 FE 05 14 0D FE 05 70 16 FE 05 A0 
0B FE 05 3C 07 FE 05 9A 07 FE 05 39 0D FE 05 93 
07 FE 05 30 0D FE 05 8C 16 FE 05 BC 0B FE 05 58 
07 FE 05 B6 07 FE 05 55 0D FE 05 AF 07 FE 05 4C 
0D FE 05 A8 16 FE 05 D8 0B FE 05 74 07 FE 05 D2 
07 FE 05 71 0D FE 05 CB 07 FE 05 68 0D FE 05 C4 
16 FE 05 F4 42 FE 05 F8 42 FE 05 FC 42 FE 06 00 
42 FE 06 04 42 FE 06 08 42 FE 06 0C 42 FE 06 10 
42 FE 06 14 0B FE 05 B0 07 FE 06 0E 07 FE 05 AD 
0D FE 06 07 07 FE 05 A4 0D FE 06 00 16 FE 06 30 
0B FE 05 CC 07 FE 06 2A 07 FE 05 C9 0D FE 06 23 
07 FE 05 C0 0D FE 06 1C 16 FE 06 4C 0B FE 05 E8 
07 FE 06 46 07 FE 05 E5 0D FE 06 3F 07 FE 05 DC 
0D FE 06 38 16 FE 06 68 0B FE 06 04 07 FE 06 62 
07 FE 06 01 0D FE 06 5B 07 FE 05 F8 0D FE 06 54 
16 FE 06 84 0B FE 06 20 07 FE 06 7E 07 FE 06 1D 
0D FE 06 77 07 FE 06 14 0D FE 06 70 16 FE 06 A0 
0B FE 06 3C 07 FE 06 9A 07 FE 06 39 0D FE 06 93 
07 FE 06 30 0D FE 06 8C 16 FE 06 BC 0B FE 06 58 
07 FE 06 B6 07 FE 06 55 0D FE 06 AF 07 FE 06 4C 
0D FE 06 A8 16 FE 06 D8 0B FE 06 74 07 FE 06 D2 
07 FE 06 71 0D FE 06 CB 07 FE 06 68 0D FE 06 C4 
16 FE 06 F4 0B FE 06 90 07 FE 06 EE 07 FE 06 8D 
0D FE 06 E7 07 FE 06 84 0D FE 06 E0 16 FE 07 10 
0B FE 06 AC 07 FE 07 0A 07 FE 06 A9 0D FE 07 03 
07 FE 06 A0 0D FE 06 FC 16 FE 07 2C 0B FE 06 C8 
07 FE 07 26 07 FE 06 C5 0D FE 07 1F 07 FE 06 BC 
0D FE 07 18 16 FE 07 48 0B FE 06 E4 07 FE 07 42 
07 FE 06 E1 0D FE 07 3B 07 FE 06 D8 0D FE 07 34 
16 FE 07 64 0B FE 07 00 07 FE 07 5E 07 FE 06 FD 
0D FE 07 57 07 FE 06 F4 0D FE 07 50 16 FE 07 80 
0B FE 07 1C 07 FE 07 7A 07 FE 07 19 0D FE 07 73 
07 FE 07 10 0D FE 07 6C 16 FE 07 9C 0B FE 07 38 
07 FE 07 96 07 FE 07 35 0D FE 07 8F 07 FE 07 2C 
0D FE 07 88 16 FE 07 B8 0B FE 07 54 07 FE 07 B2 
07 FE 07 51 0D FE 07 AB 07 FE 07 48 0D FE 07 A4 
16 24 7F 81 5F 95 49 FF 2F 

Track1
00 C1 64 02 B1 07 4B 02 0A 46 02 5B 14 84 D7 7A 
91 28 7F 64 83 60 28 7F 64 83 60 28 7F 64 83 60 
28 7F 64 78 2F 7F 64 78 30 7F 64 78 31 7F 64 78 
FE 00 1F 1F FE 00 23 1F FE 00 27 1F FE 00 2B 1F 
FE 00 2F 1F FE 00 33 1E 81 96 78 FE 00 3A 07 81 
5C FE 00 38 17 FE 00 44 07 81 5C FE 00 42 17 FE 
00 4E 07 81 5C FE 00 4C 17 28 7F 64 78 25 7F 64 
78 26 7F 64 78 2A 7F 64 78 28 7F 81 5C 81 70 29 
FE 00 0E 09 64 78 28 64 64 78 2A 7F 64 78 2D 7F 
64 78 FE 00 72 10 FE 00 2D 17 FE 00 28 09 FE 00 
1A 0E FE 00 82 10 FE 00 3D 17 FE 00 38 09 FE 00 
2A 0E FE 00 92 10 FE 00 4D 17 FE 00 48 09 FE 00 
3A 0E FE 00 A2 10 FE 00 5D 17 FE 00 58 09 FE 00 
4A 0E FE 00 B2 10 FE 00 6D 17 FE 00 68 09 FE 00 
5A 0E FE 00 C2 10 FE 00 7D 17 FE 00 78 09 FE 00 
6A 0E FE 00 D2 10 FE 00 8D 17 FE 00 88 09 FE 00 
7A 0E FE 00 E2 0F 64 FF 2F 

Track2
00 C2 6A 02 B2 07 64 02 0A 3C 02 5B 0A 85 C2 6A 
92 26 69 6E 81 70 2E 69 81 66 82 68 2A 69 81 66 
81 70 2B 69 6E 81 70 2D 69 6E 78 2E FE 00 0F 08 
78 30 69 6E 82 68 FE 00 25 1B FE 00 1D 08 78 30 
69 6E 82 68 FE 00 33 1B FE 00 2B 08 78 30 69 6E 
82 68 FE 00 41 1B FE 00 39 08 78 30 69 6E 82 68 
FE 00 4F 1B FE 00 47 08 78 30 69 6E 82 68 FE 00 
5D 1B FE 00 55 08 78 30 69 6E 82 68 FE 00 6B 1B 
FE 00 63 08 78 30 69 6E 82 68 FE 00 79 1B FE 00 
71 08 78 30 69 6E 82 68 FE 00 87 1B FE 00 7F 08 
78 30 69 6E 82 68 FE 00 95 1B FE 00 8D 08 78 30 
69 6E 81 A5 78 24 7F 6E 81 70 26 6E 6E 81 70 2E 
6E 81 66 81 70 27 7F 6E 78 2A 6E 81 66 81 70 2B 
6E 6E 78 27 7F 6E 78 2D 6E 6E 78 2E FE 00 12 09 
30 6E 6E FE 00 2F 0A 0C 27 7F 5A 64 FE 00 2D 1D 
FE 00 26 09 30 6E 6E FE 00 43 28 FE 00 31 09 30 
6E 6E FE 00 4E 0A 0C 27 7F 5A 64 FE 00 4C 1D FE 
00 45 09 30 6E 6E FE 00 62 28 FE 00 50 09 30 6E 
6E FE 00 6D 0A 0C 27 7F 5A 64 FE 00 6B 1D FE 00 
64 09 30 6E 6E FE 00 81 28 FE 00 6F 09 30 6E 6E 
FE 00 8C 0A 0C 27 7F 5A 64 FE 00 8A 1D FE 00 83 
09 30 6E 6E FE 00 A0 28 FE 00 8E 09 30 6E 6E FE 
00 AB 0A 0C 27 7F 5A 64 FE 00 A9 1D FE 00 A2 09 
30 6E 6E FE 00 BF 28 FE 00 AD 09 30 6E 6E FE 00 
CA 0A 0C 27 7F 5A 64 FE 00 C8 1D FE 00 C1 09 30 
6E 6E FE 00 DE 28 FE 00 CC 09 30 6E 6E FE 00 E9 
0A 0C 27 7F 5A 64 FE 00 E7 1D FE 00 E0 09 30 6E 
